Bedrooms,Car parking,Furnishing,Bathrooms,Floor,Status,Price Breakup,Location_Score,Total Floors
3,3,Unfurnished,3,3,Ready to Move,418,9.0,3
3,0,Semi-Furnished,2,1,Ready to Move,40,9.0,4
3,3,Semi-Furnished,3,1,Ready to Move,395,9.0,1
3,3,Furnished,2,1,Ready to Move,154,3.0,1
3,4,Semi-Furnished,3,0,Ready to Move,470,6.0,0
2,1,Semi-Furnished,2,3,Ready to Move,63,7.0,3
3,1,Unfurnished,2,2,Ready to Move,60,4.0,2
3,1,Semi-Furnished,3,5,Ready to Move,420,2.0,5
3,2,Semi-Furnished,2,0,Ready to Move,65,10.0,0
3,2,Semi-Furnished,3,0,Ready to Move,220,7.0,0
2,1,Furnished,2,10,Ready to Move,350,2.0,10
3,3,Furnished,3,3,Ready to Move,188,7.0,3
3,0,Unfurnished,2,0,Ready to Move,200,9.0,0
3,3,Semi-Furnished,3,1,Ready to Move,450,9.0,1
3,0,Unfurnished,2,1,Ready to Move,65,9.0,1
3,3,Semi-Furnished,3,1,Ready to Move,275,6.0,1
2,0,Semi-Furnished,2,1,Ready to Move,22,9.0,1
3,2,Furnished,2,2,Ready to Move,108,7.0,2
2,0,Semi-Furnished,2,3,Ready to Move,125,8.0,3
3,1,Semi-Furnished,2,1,Ready to Move,250,6.0,1
3,2,Semi-Furnished,3,23,Ready to Move,499,4.0,23
3,1,Semi-Furnished,3,1,Ready to Move,170,7.0,1
3,2,Semi-Furnished,3,1,Ready to Move,275,7.0,1
3,0,Semi-Furnished,3,1,Ready to Move,650,10.0,1
2,2,Semi-Furnished,2,1,Ready to Move,71,7.0,1
3,0,Unfurnished,2,4,Ready to Move,72,5.0,4
3,1,Unfurnished,3,12,Ready to Move,499,2.0,12
3,2,Semi-Furnished,2,7,Ready to Move,177,7.0,7
2,2,Semi-Furnished,3,0,Ready to Move,350,6.0,0
3,0,Unfurnished,2,2,Ready to Move,170,3.0,2
3,0,Unfurnished,3,8,Ready to Move,179,3.0,8
2,1,Semi-Furnished,2,0,Ready to Move,45,7.0,0
3,0,Semi-Furnished,2,2,Ready to Move,55,6.0,2
3,2,Furnished,2,5,Ready to Move,185,3.0,5
3,2,Semi-Furnished,3,4,Ready to Move,188,3.0,4
3,1,Semi-Furnished,2,11,Ready to Move,280,9.0,11
2,2,Semi-Furnished,2,3,Ready to Move,100,3.0,3
3,2,Semi-Furnished,2,2,Ready to Move,155,4.0,2
3,2,Semi-Furnished,2,1,Ready to Move,169,4.0,1
3,1,Unfurnished,3,13,Ready to Move,530,5.0,13
3,2,Semi-Furnished,3,4,Ready to Move,190,3.0,4
3,1,Semi-Furnished,3,2,Ready to Move,184,3.0,2
3,0,Semi-Furnished,3,3,Ready to Move,240,5.0,3
2,0,Unfurnished,2,1,Ready to Move,35,10.0,1
3,2,Semi-Furnished,2,2,Ready to Move,167,4.0,2
2,2,Semi-Furnished,2,1,Ready to Move,94,9.0,1
3,0,Furnished,3,2,Ready to Move,186,3.0,2
3,2,Unfurnished,3,0,Ready to Move,195,6.0,0
2,1,Semi-Furnished,2,1,Ready to Move,24,8.0,1
3,4,Semi-Furnished,3,2,Ready to Move,229,5.0,2
2,1,Semi-Furnished,2,1,Ready to Move,19,9.0,1
3,0,Unfurnished,2,5,Ready to Move,160,4.0,5
3,2,Furnished,2,0,Ready to Move,158,6.0,0
3,2,Furnished,3,2,Ready to Move,200,6.0,2
2,2,Semi-Furnished,2,1,Ready to Move,138,7.0,1
3,2,Semi-Furnished,3,2,Ready to Move,170,7.0,2
3,2,Semi-Furnished,3,9,Ready to Move,160,6.0,9
3,0,Semi-Furnished,2,5,Ready to Move,145,3.0,5
3,0,Unfurnished,3,1,Ready to Move,500,3.0,1
